Representative,District
"Allen, Scott",97
"Anderson, Clinton",45
"Anderson, Jimmy",47
"Andraca, Deb",23
"Armstrong, David",75
"August, Tyler",32
"Baldeh, Samba",48
"Bare, Mike",80
"Behnke, Elijah",89
"Billings, Jill",95
"Binsfeld, Amy",27
"Bodden, Ty",59
"Born, Mark",39
"Brandtjen, Janel",22
"Brooks, Robert",60
"Cabrera, Marisabel",9
"Callahan, Calvin",35
"Clancy, Ryan",19
"Conley, Sue",44
"Considine, Dave",81
"Dallman, Alex",41
"Dittrich, Barbara",38
"Donovan, Bob",84
"Doyle, Steve",94
"Drake, Dora",11
"Duchow, Cindi",99
"Edming, James",87
"Emerson, Jodi",91
"Goeben, Joy",5
"Goyke, Evan",18
"Green, Chanz",74
"Gundrum, Rick",58
"Gustafson, Nate",55
"Haywood, Kalan",16
"Hong, Francesca",76
"Hurd, Karen",68
"Jacobson, Jenna",43
"Joers, Alex",79
"Johnson, Scott",33
"Katsma, Terry",26
"Kitchens, Joel",1
"Krug, Scott",72
"Kurtz, Tony",50
"Macco, John",88
"Madison, Darrin",10
"Magnafici, Gae",28
"Maxey, Dave",15
"McGuire, Tip",64
"Melotik, Paul",24
"Michalski, Tom",13
"Moore Omokunde, Supreme",17
"Moses, Clint",29
"Murphy, David",56
"Mursau, Jeffrey",36
"Myers, LaKeshia",12
"Nedweski, Amanda",61
"Neubauer, Greta",66
"Neylon, Adam",98
"Novak, Todd",51
"O'Connor, Jerry",52
"Ohnstad, Tod",65
"Oldenburg, Loren",96
"Ortiz-Velez, Sylvia",8
"Palmeri, Lori",54
"Penterman, William",37
"Petersen, Kevin",40
"Petryk, Warren",93
"Plumer, Jon",42
"Pronschinske, Treig",92
"Ratcliff, Melissa",46
"Rettinger, Nik",83
"Riemer, Daniel",7
"Rodriguez, Jessie",21
"Rozar, Donna",69
"Sapik, Angie",73
"Schmidt, Peter",6
"Schraa, Michael",53
"Schutt, Ellen",31
"Shankland, Katrina",71
"Shelton, Kristina",90
"Sinicki, Christine",20
"Snodgrass, Lee",57
"Snyder, Patrick",85
"Sortwell, Shae",2
"Spiros, John",86
"Steffen, David",4
"Stubbs, Shelia",77
"Subeck, Lisa",78
"Summerfield, Rob",67
"Swearingen, Rob",34
"Tittl, Paul",25
"Tranel, Travis",49
"Tusler, Ron",3
"VanderMeer, Nancy",70
"Vining, Robyn",14
"Vos, Robin",63
"Wichgers, Chuck",82
"Wittke, Robert",62
"Zimmerman, Shannon",30
