zip_dist,,
Zip Code,Assembly District,Senate District
53910,41,14
53934,"41,50,72","14,17,24"
53936,"41,72","14,24"
54613,"41,50,72","14,17,24"
54514,"74,87","25,29"
54517,"74,87","25,29"
54527,74,25
54546,74,25
54806,74,25
54846,74,25
54850,74,25
54855,74,25
54861,74,25
54728,"67,75,87","23,25,29"
54733,"29,67,75","10,23,25"
54762,"29,75","10,25"
54805,75,25
54812,75,25
54813,"28, 73, 75","10, 25"
54822,75,25
54826,"28, 75","10, 25"
54829,"28, 73, 75","10, 25"
54841,75,25
54857,75,25
54868,"75, 87","25, 29"
54889,"28, 75","10, 25"
54814,74,25
54821,74,25
54827,74,25
54832,74,25
54839,74,25
54844,"73, 74",25
54847,74,25
54856,74,25
54865,74,25
54891,74,25
54115,"2,4,5,88","1,2,30"
54126,"2,3,25,88","1,9,30"
54155,"4,5",2
54162,"5,6,36,89","2,12,30"
54173,89,30
54180,"2,3,5","1,2"
54208,"1,2,88","1,30"
54229,"1,88","1,30"
54301,"2,4,88,90","1,2,30"
54302,"4,89,90","2,30"
54303,"2,4,5,90","2,30"
54304,"1,4,88,90","1,2,30"
54307,4,2
54311,"36,4,5,6,89,90","1,2,30"
54313,92,"2,12,30"
54610,92,31
54622,92,31
54629,"92,93",31
54755,92,31
54756,"73,74",31
54830,"28,73",25
54840,73,"10,25"
54845,"28,73",25
54872,73,"10,25"
54893,"25,27,59",25
53014,"3, 25, 59","1, 9, 20"
53061,59,"9,20"
53088,"67,68",20
54110,"2, 3, 25","1, 9"
54123,3,1
54129,"3, 59","1, 20"
54160,3,1
54169,3,1
54724,67,23
54726,"67,68",23
54727,"69,87",23
54729,"67, 68",23
54732,67,23
54745,"67, 87","23, 29"
54748,67,23
54757,"29, 67, 75, 87","10, 23, 25, 29"
54768,"67, 68, 87","23, 29"
54405,69,"23,29"
54420,"68,69,87",23
54421,"68,69,87","23,29"
54422,"68,69,87","23,29"
54425,"69,70","23,29"
54436,"68,69","23,24"
54437,"68,69",23
54446,"68,69,92",23
54456,"68, 69, 70, 92","23, 24, 31"
54460,"68, 87","23, 29"
54493,68,23
54498,"68, 87","23, 29"
54746,"68, 69, 92","23, 31"
54771,"68,87","23,29"
53555,"42,81","14,27"
53901,"41,42,81","14,27"
53911,"37,42,81","13,14,27"
53923,"39,42","13,14"
53925,"37,39",13
53928,39,13
53932,"37,39,42","13,14"
53935,42,14
53954,"41,42",14
53955,"39,42,81","13,14,27"
53960,"37,39,42","13,14"
53965,"41,50,81","14,17,27"
53969,42,14
53821,"49,96","17,32"
53826,"49,96","17,32"
54626,96,32
54628,96,32
54631,"49, 96","17, 32"
54654,96,32
54655,"49, 96","17, 32"
54657,96,32
53508,"45, 80","15, 27"
53515,"80,81",27
53517,"80,81",27
53523,"33, 38, 43","11, 13, 15"
53527,"43, 46, 47","15, 16"
53528,"80, 81",27
53529,"42, 81","14, 27"
53531,"38, 43, 46","13, 15, 16"
53532,"37, 39, 42, 46, 48, 79, 81","13, 14, 16, 27"
53558,"43, 46, 47","15, 16"
53559,"37, 38, 46","13, 16"
53560,81,27
53562,"47,77,78,79,80,81","16,26,27"
53571,"37,42,81","13,14,27"
53572,"80,81",27
53575,"43,47,80","15, 16, 27"
53589,"38,43,45","13, 15"
53590,"37,38,39,46,47","13, 16"
53593,"47,78,79,80","16, 26, 27"
53597,"48, 79, 81","16, 27"
53598,"37, 79","13, 27"
53703,"76, 77",26
53704,"46, 47, 48, 76, 77, 79","16, 26, 27"
53705,"47,77,78,79,80","16,26,27"
53706,"76,77",26
53711,"43,47,76,77,78,79,80","15,16,26,27"
53713,"47,77,78","16,26"
53714,"47,48,76,77","16,26"
53715,"76,77",26
53716,"47,48,77","16,26"
53717,"47,78,79,80","16,26,27"
53718,"46,47,48,79","16,27"
53719,"47,77,78,79,80","16,26,27"
53726,77,26
53783,46,16
53788,76,26
53792,77,26
53003,37,13
53006,"39,42,52","13,14,18"
53016,37,13
53032,39,13
53034,39,13
